ioc,ioc_type,threat_campaign,malware_family,threat_actor,source_organization,source_article,source_url,article_published_date,ioc_first_seen,ioc_last_seen,confidence,status,notes
locoaudio.com,domain,Exvicy: A Copycat of the ErrTraffic Malware Distribution Framework,,,Sekoia.io,Exvicy: A Copycat of the ErrTraffic Malware Distribution Framework,https://www.sekoia.com/blog/exvicy-a-copycat-of-the-errtraffic-malware-distribution-framework,2026-09-21T00:00:00Z,,,74,PREVIOUSLY_PUBLISHED,
lyxorgbs.com,domain,Exvicy: A Copycat of the ErrTraffic Malware Distribution Framework,,,Sekoia.io,Exvicy: A Copycat of the ErrTraffic Malware Distribution Framework,https://www.sekoia.com/blog/exvicy-a-copycat-of-the-errtraffic-malware-distribution-framework,2026-09-21T00:00:00Z,,,74,PREVIOUSLY_PUBLISHED,
maidsradar.com,domain,Exvicy: A Copycat of the ErrTraffic Malware Distribution Framework,,,Sekoia.io,Exvicy: A Copycat of the ErrTraffic Malware Distribution Framework,https://www.sekoia.com/blog/exvicy-a-copycat-of-the-errtraffic-malware-distribution-framework,2026-09-21T00:00:00Z,,,74,PREVIOUSLY_PUBLISHED,
medfinadvisory.com,domain,Exvicy: A Copycat of the ErrTraffic Malware Distribution Framework,,,Sekoia.io,Exvicy: A Copycat of the ErrTraffic Malware Distribution Framework,https://www.sekoia.com/blog/exvicy-a-copycat-of-the-errtraffic-malware-distribution-framework,2026-09-21T00:00:00Z,,,74,PREVIOUSLY_PUBLISHED,
nanakshahicoin.com,domain,Exvicy: A Copycat of the ErrTraffic Malware Distribution Framework,,,Sekoia.io,Exvicy: A Copycat of the ErrTraffic Malware Distribution Framework,https://www.sekoia.com/blog/exvicy-a-copycat-of-the-errtraffic-malware-distribution-framework,2026-09-21T00:00:00Z,,,74,PREVIOUSLY_PUBLISHED,
onlineprivacyprotect.com,domain,Exvicy: A Copycat of the ErrTraffic Malware Distribution Framework,,,Sekoia.io,Exvicy: A Copycat of the ErrTraffic Malware Distribution Framework,https://www.sekoia.com/blog/exvicy-a-copycat-of-the-errtraffic-malware-distribution-framework,2026-09-21T00:00:00Z,,,74,PREVIOUSLY_PUBLISHED,
photobyroyan.com,domain,Exvicy: A Copycat of the ErrTraffic Malware Distribution Framework,,,Sekoia.io,Exvicy: A Copycat of the ErrTraffic Malware Distribution Framework,https://www.sekoia.com/blog/exvicy-a-copycat-of-the-errtraffic-malware-distribution-framework,2026-09-21T00:00:00Z,,,74,PREVIOUSLY_PUBLISHED,
pigeononpinguin.top,domain,Exvicy: A Copycat of the ErrTraffic Malware Distribution Framework,,,Sekoia.io,Exvicy: A Copycat of the ErrTraffic Malware Distribution Framework,https://www.sekoia.com/blog/exvicy-a-copycat-of-the-errtraffic-malware-distribution-framework,2026-09-21T00:00:00Z,,,74,PREVIOUSLY_PUBLISHED,
ploutouscapitalus.com,domain,Exvicy: A Copycat of the ErrTraffic Malware Distribution Framework,,,Sekoia.io,Exvicy: A Copycat of the ErrTraffic Malware Distribution Framework,https://www.sekoia.com/blog/exvicy-a-copycat-of-the-errtraffic-malware-distribution-framework,2026-09-21T00:00:00Z,,,74,PREVIOUSLY_PUBLISHED,
plumber-charlotte.com,domain,Exvicy: A Copycat of the ErrTraffic Malware Distribution Framework,,,Sekoia.io,Exvicy: A Copycat of the ErrTraffic Malware Distribution Framework,https://www.sekoia.com/blog/exvicy-a-copycat-of-the-errtraffic-malware-distribution-framework,2026-09-21T00:00:00Z,,,74,PREVIOUSLY_PUBLISHED,
premiumfastloans.com,domain,Exvicy: A Copycat of the ErrTraffic Malware Distribution Framework,,,Sekoia.io,Exvicy: A Copycat of the ErrTraffic Malware Distribution Framework,https://www.sekoia.com/blog/exvicy-a-copycat-of-the-errtraffic-malware-distribution-framework,2026-09-21T00:00:00Z,,,74,PREVIOUSLY_PUBLISHED,
primemarkets360.com,domain,Exvicy: A Copycat of the ErrTraffic Malware Distribution Framework,,,Sekoia.io,Exvicy: A Copycat of the ErrTraffic Malware Distribution Framework,https://www.sekoia.com/blog/exvicy-a-copycat-of-the-errtraffic-malware-distribution-framework,2026-09-21T00:00:00Z,,,74,PREVIOUSLY_PUBLISHED,
recaptcha-check.com,domain,Exvicy: A Copycat of the ErrTraffic Malware Distribution Framework,,,Sekoia.io,Exvicy: A Copycat of the ErrTraffic Malware Distribution Framework,https://www.sekoia.com/blog/exvicy-a-copycat-of-the-errtraffic-malware-distribution-framework,2026-09-21T00:00:00Z,,,74,PREVIOUSLY_PUBLISHED,
